pk,jsondata,id,name,description,markup_description,parameter_pk,number,abbr,version
651,"{""color"": ""FFFFFF"", ""icon"": ""pie-100-FFFFFF.png""}",148-4,Does not exist,,,149,4,,1
652,"{""color"": ""FC3535"", ""icon"": ""pie-100-FC3535.png""}",149-1,Exists (as a major allophone),,,150,1,,1
653,"{""color"": ""FFB6C1"", ""icon"": ""pie-100-FFB6C1.png""}",149-2,Exists only as a minor allophone,,,150,2,,1
655,"{""color"": ""FFFFFF"", ""icon"": ""pie-100-FFFFFF.png""}",149-4,Does not exist,,,150,4,,1
660,"{""color"": ""FC3535"", ""icon"": ""pie-100-FC3535.png""}",151-1,Exists (as a major allophone),,,152,1,,1
661,"{""color"": ""FFB6C1"", ""icon"": ""pie-100-FFB6C1.png""}",151-2,Exists only as a minor allophone,,,152,2,,1
662,"{""color"": ""F7F713"", ""icon"": ""pie-100-F7F713.png""}",151-3,Exists only in loanwords,,,152,3,,1
663,"{""color"": ""FFFFFF"", ""icon"": ""pie-100-FFFFFF.png""}",151-4,Does not exist,,,152,4,,1
664,"{""color"": ""FC3535"", ""icon"": ""pie-100-FC3535.png""}",152-1,Exists (as a major allophone),,,153,1,,1
665,"{""color"": ""FFB6C1"", ""icon"": ""pie-100-FFB6C1.png""}",152-2,Exists only as a minor allophone,,,153,2,,1
666,"{""color"": ""F7F713"", ""icon"": ""pie-100-F7F713.png""}",152-3,Exists only in loanwords,,,153,3,,1
667,"{""color"": ""FFFFFF"", ""icon"": ""pie-100-FFFFFF.png""}",152-4,Does not exist,,,153,4,,1
668,"{""color"": ""FC3535"", ""icon"": ""pie-100-FC3535.png""}",153-1,Exists (as a major allophone),,,154,1,,1
669,"{""color"": ""FFB6C1"", ""icon"": ""pie-100-FFB6C1.png""}",153-2,Exists only as a minor allophone,,,154,2,,1
670,"{""color"": ""F7F713"", ""icon"": ""pie-100-F7F713.png""}",153-3,Exists only in loanwords,,,154,3,,1
671,"{""color"": ""FFFFFF"", ""icon"": ""pie-100-FFFFFF.png""}",153-4,Does not exist,,,154,4,,1
672,"{""color"": ""FC3535"", ""icon"": ""pie-100-FC3535.png""}",154-1,Exists (as a major allophone),,,155,1,,1
676,"{""color"": ""FC3535"", ""icon"": ""pie-100-FC3535.png""}",155-1,Exists (as a major allophone),,,156,1,,1
677,"{""color"": ""FFB6C1"", ""icon"": ""pie-100-FFB6C1.png""}",155-2,Exists only as a minor allophone,,,156,2,,1
678,"{""color"": ""F7F713"", ""icon"": ""pie-100-F7F713.png""}",155-3,Exists only in loanwords,,,156,3,,1
679,"{""color"": ""FFFFFF"", ""icon"": ""pie-100-FFFFFF.png""}",155-4,Does not exist,,,156,4,,1
680,"{""color"": ""FC3535"", ""icon"": ""pie-100-FC3535.png""}",156-1,Exists (as a major allophone),,,157,1,,1
681,"{""color"": ""FFB6C1"", ""icon"": ""pie-100-FFB6C1.png""}",156-2,Exists only as a minor allophone,,,157,2,,1
682,"{""color"": ""F7F713"", ""icon"": ""pie-100-F7F713.png""}",156-3,Exists only in loanwords,,,157,3,,1
683,"{""color"": ""FFFFFF"", ""icon"": ""pie-100-FFFFFF.png""}",156-4,Does not exist,,,157,4,,1
684,"{""color"": ""FC3535"", ""icon"": ""pie-100-FC3535.png""}",157-1,Exists (as a major allophone),,,158,1,,1
688,"{""color"": ""FC3535"", ""icon"": ""pie-100-FC3535.png""}",158-1,Exists (as a major allophone),,,159,1,,1
689,"{""color"": ""FFB6C1"", ""icon"": ""pie-100-FFB6C1.png""}",158-2,Exists only as a minor allophone,,,159,2,,1
690,"{""color"": ""F7F713"", ""icon"": ""pie-100-F7F713.png""}",158-3,Exists only in loanwords,,,159,3,,1
691,"{""color"": ""FFFFFF"", ""icon"": ""pie-100-FFFFFF.png""}",158-4,Does not exist,,,159,4,,1
692,"{""color"": ""FC3535"", ""icon"": ""pie-100-FC3535.png""}",159-1,Exists (as a major allophone),,,160,1,,1
694,"{""color"": ""F7F713"", ""icon"": ""pie-100-F7F713.png""}",159-3,Exists only in loanwords,,,160,3,,1
695,"{""color"": ""FFFFFF"", ""icon"": ""pie-100-FFFFFF.png""}",159-4,Does not exist,,,160,4,,1
696,"{""color"": ""FC3535"", ""icon"": ""pie-100-FC3535.png""}",160-1,Exists (as a major allophone),,,161,1,,1
697,"{""color"": ""FFB6C1"", ""icon"": ""pie-100-FFB6C1.png""}",160-2,Exists only as a minor allophone,,,161,2,,1
699,"{""color"": ""FFFFFF"", ""icon"": ""pie-100-FFFFFF.png""}",160-4,Does not exist,,,161,4,,1
701,"{""color"": ""FFB6C1"", ""icon"": ""pie-100-FFB6C1.png""}",161-2,Exists only as a minor allophone,,,162,2,,1
702,"{""color"": ""F7F713"", ""icon"": ""pie-100-F7F713.png""}",161-3,Exists only in loanwords,,,162,3,,1
703,"{""color"": ""FFFFFF"", ""icon"": ""pie-100-FFFFFF.png""}",161-4,Does not exist,,,162,4,,1
706,"{""color"": ""F7F713"", ""icon"": ""pie-100-F7F713.png""}",162-3,Exists only in loanwords,,,163,3,,1
708,"{""color"": ""FC3535"", ""icon"": ""pie-100-FC3535.png""}",163-1,Exists (as a major allophone),,,164,1,,1
709,"{""color"": ""FFB6C1"", ""icon"": ""pie-100-FFB6C1.png""}",163-2,Exists only as a minor allophone,,,164,2,,1
710,"{""color"": ""F7F713"", ""icon"": ""pie-100-F7F713.png""}",163-3,Exists only in loanwords,,,164,3,,1
711,"{""color"": ""FFFFFF"", ""icon"": ""pie-100-FFFFFF.png""}",163-4,Does not exist,,,164,4,,1
713,"{""color"": ""FFB6C1"", ""icon"": ""pie-100-FFB6C1.png""}",164-2,Exists only as a minor allophone,,,165,2,,1
718,"{""color"": ""F7F713"", ""icon"": ""pie-100-F7F713.png""}",165-3,Exists only in loanwords,,,166,3,,1
721,"{""color"": ""FFB6C1"", ""icon"": ""pie-100-FFB6C1.png""}",166-2,Exists only as a minor allophone,,,167,2,,1
725,"{""color"": ""FFB6C1"", ""icon"": ""pie-100-FFB6C1.png""}",167-2,Exists only as a minor allophone,,,168,2,,1
728,"{""color"": ""FC3535"", ""icon"": ""pie-100-FC3535.png""}",168-1,Exists (as a major allophone),,,169,1,,1
729,"{""color"": ""FFB6C1"", ""icon"": ""pie-100-FFB6C1.png""}",168-2,Exists only as a minor allophone,,,169,2,,1
731,"{""color"": ""FFFFFF"", ""icon"": ""pie-100-FFFFFF.png""}",168-4,Does not exist,,,169,4,,1
732,"{""color"": ""FC3535"", ""icon"": ""pie-100-FC3535.png""}",169-1,Exists (as a major allophone),,,170,1,,1
733,"{""color"": ""FFB6C1"", ""icon"": ""pie-100-FFB6C1.png""}",169-2,Exists only as a minor allophone,,,170,2,,1
735,"{""color"": ""FFFFFF"", ""icon"": ""pie-100-FFFFFF.png""}",169-4,Does not exist,,,170,4,,1
736,"{""color"": ""FC3535"", ""icon"": ""pie-100-FC3535.png""}",170-1,Exists (as a major allophone),,,171,1,,1
739,"{""color"": ""FFFFFF"", ""icon"": ""pie-100-FFFFFF.png""}",170-4,Does not exist,,,171,4,,1
740,"{""color"": ""FC3535"", ""icon"": ""pie-100-FC3535.png""}",171-1,Exists (as a major allophone),,,172,1,,1
743,"{""color"": ""FFFFFF"", ""icon"": ""pie-100-FFFFFF.png""}",171-4,Does not exist,,,172,4,,1
744,"{""color"": ""FC3535"", ""icon"": ""pie-100-FC3535.png""}",172-1,Exists (as a major allophone),,,173,1,,1
745,"{""color"": ""FFB6C1"", ""icon"": ""pie-100-FFB6C1.png""}",172-2,Exists only as a minor allophone,,,173,2,,1
747,"{""color"": ""FFFFFF"", ""icon"": ""pie-100-FFFFFF.png""}",172-4,Does not exist,,,173,4,,1
748,"{""color"": ""FC3535"", ""icon"": ""pie-100-FC3535.png""}",173-1,Exists (as a major allophone),,,174,1,,1
749,"{""color"": ""FFB6C1"", ""icon"": ""pie-100-FFB6C1.png""}",173-2,Exists only as a minor allophone,,,174,2,,1
751,"{""color"": ""FFFFFF"", ""icon"": ""pie-100-FFFFFF.png""}",173-4,Does not exist,,,174,4,,1
752,"{""color"": ""FC3535"", ""icon"": ""pie-100-FC3535.png""}",174-1,Exists (as a major allophone),,,175,1,,1
755,"{""color"": ""FFFFFF"", ""icon"": ""pie-100-FFFFFF.png""}",174-4,Does not exist,,,175,4,,1
756,"{""color"": ""FC3535"", ""icon"": ""pie-100-FC3535.png""}",175-1,Exists (as a major allophone),,,176,1,,1
760,"{""color"": ""FC3535"", ""icon"": ""pie-100-FC3535.png""}",176-1,Exists (as a major allophone),,,177,1,,1
761,"{""color"": ""FFB6C1"", ""icon"": ""pie-100-FFB6C1.png""}",176-2,Exists only as a minor allophone,,,177,2,,1
762,"{""color"": ""F7F713"", ""icon"": ""pie-100-F7F713.png""}",176-3,Exists only in loanwords,,,177,3,,1
763,"{""color"": ""FFFFFF"", ""icon"": ""pie-100-FFFFFF.png""}",176-4,Does not exist,,,177,4,,1
